src,tgt,path_length,type
RPL7A,INCENP,1,direct
YBX1,USP7,1,direct
SMC6,WAC,-1,reversed-1
KIF4A,RPL35A,-2,reversed-2
BRIX1,USP5,1,direct
PSMB1,ZC3H8,1,direct
FBL,RPE,1,direct
GTF2F2,CHMP1A,1,direct
TBCC,BRCA1,-2,reversed-2
PSMB1,CHMP5,-1,reversed-1
RPL35A,NEPRO,1,direct
HNRNPR,MARS,1,direct
ELAC2,SLU7,2,hop-2
CYC1,FBL,1,direct
MRPL4,CPSF4,1,direct
RPL7A,ASF1B,1,direct
MRTO4,URM1,-1,reversed-1
TMX2,MRPL24,1,direct
GUK1,RPL7A,-1,reversed-1
MEPCE,GTF2H3,-2,reversed-2
BRIX1,ARF4,1,direct
NUTF2,TRIAP1,-1,reversed-1
CYC1,VPS72,1,direct
BRIX1,NDUFA2,1,direct
BRIX1,MRPS31,1,direct
GUK1,HNRNPR,-1,reversed-1
HSPD1,BRCA1,1,direct
MRPL21,SDHA,1,direct
LSM5,ARMC6,1,direct
RPUSD4,RSL24D1,-1,reversed-1
MCM7,RPUSD4,1,direct
HNRNPR,ZNRD1,1,direct
SNAPC5,GPS1,-1,reversed-1
RPL7A,HNRNPR,-1,reversed-1
MARS,DDX19A,-2,reversed-2
MCM10,TMA16,-2,reversed-2
POLR3E,GATA1,-1,reversed-1
NDUFA2,NOL12,1,direct
WDR26,PDCD6IP,-1,reversed-1
HSPD1,RRP12,1,direct
WAC,NAT10,1,direct
CIAO1,USP7,-1,reversed-1
RSL1D1,WAC,-1,reversed-1
MCM10,SLU7,2,hop-2
MRPS22,KDM2A,2,hop-2
FIP1L1,CENPH,-1,reversed-1
BRIX1,TMX2,1,direct
NAT10,NELFA,1,direct
SENP6,RNPS1,-1,reversed-1
PPP1R7,TBCC,1,direct
SLC1A5,TRA2B,-2,reversed-2
CCT6A,HTATSF1,1,direct
NDUFA2,NFRKB,2,hop-2
PSMG1,XPO5,1,direct
MED21,URM1,-2,reversed-2
RPL35A,CCP110,2,hop-2
WDR18,SBDS,-1,reversed-1
ANAPC11,SKA3,1,direct
MRPS28,PPP1CB,2,hop-2
PDCD6IP,HMGCS1,1,direct
RPS3,NFS1,1,direct
RPAP1,CEP85,0,no_path
NELFE,C7orf26,-1,reversed-1
CDC20,EXOSC1,1,direct
CCT6A,CYC1,1,direct
SART1,GTF2F2,-1,reversed-1
RPUSD3,RPAIN,-1,reversed-1
KIN,TRMT6,1,direct
RBX1,SBDS,-1,reversed-1
POLR2B,MRTO4,-1,reversed-1
PTCD3,NFS1,2,hop-2
BRIX1,LSM5,1,direct
PREB,NFS1,0,no_path
TAF2,PSME1,0,no_path
RNPS1,ZMAT5,1,direct
EIF3B,USP8,1,direct
CDC20,MCM10,-1,reversed-1
IFITM2,NUP214,-1,reversed-1
MCM7,MYCBP,-1,reversed-1
NUP54,POLR2E,-1,reversed-1
METAP2,SURF6,1,direct
NUP54,DDX19A,0,no_path
EIF2S3,RNASEH2C,1,direct
IFITM2,POLA2,-3,reversed-3
PPP1R7,DPM2,-1,reversed-1
TRA2B,GMPPB,2,hop-2
HSPD1,COQ5,2,hop-2
VPS13D,CIAO1,0,no_path
PPP1CB,SDHA,-1,reversed-1
RPL35A,GATA1,1,direct
MRPL38,CENPH,1,direct
RPS3,MED1,1,direct
RPL10A,GAK,1,direct
BRIX1,DDX24,1,direct
CASP8AP2,MED4,-2,reversed-2
EIF2S3,XPO5,1,direct
RPL35,RPAP1,2,hop-2
DDX24,MRPS11,-1,reversed-1
RPL18A,SNRPG,1,direct
SRP14,RNF8,1,direct
RNASEH2C,SLC1A5,1,direct
ABT1,MRGBP,-2,reversed-2
RAD9A,CENPH,-2,reversed-2
XRCC2,MTOR,1,direct
EIF2S3,ATP6V0C,-1,reversed-1
ORC6,SKA3,1,direct
NUTF2,SBDS,-1,reversed-1
CD2BP2,DDX41,-1,reversed-1
CENPH,ZNF830,2,hop-2
DYNC1H1,XAB2,0,no_path
PSMB1,SARS2,1,direct
SLU7,CBX1,2,hop-2
NUP54,ASF1B,2,hop-2
ABT1,LSM10,-1,reversed-1
MRPL21,PSMA5,-1,reversed-1
GUK1,MRPL21,-1,reversed-1
MRGBP,MARS,2,hop-2
HSPD1,SART1,1,direct
HNRNPR,ABT1,1,direct
NAT10,KIN,2,hop-2
VPS13D,USP7,0,no_path
HSPE1,GPS1,1,direct
PAF1,COG2,1,direct
CPSF4,HMGCS1,0,no_path
MYCBP,ZMAT5,2,hop-2
INCENP,HNRNPR,-1,reversed-1
RPL7A,MRPL21,1,direct
MRGBP,PSMA5,1,direct
EIF4G1,POLR3E,2,hop-2
KIF4A,NEPRO,1,direct
PPP1R7,COG2,1,direct
METAP1,RBBP5,0,no_path
CDC20,CBX1,1,direct
DDX24,ARMC6,2,hop-2
PTMA,PSME1,2,hop-2
CYFIP1,NUP214,-1,reversed-1
POLR2B,SEC61G,-1,reversed-1
PSMB1,MED21,1,direct
URM1,ZC3H8,1,direct
ZNRD1,MARS,1,direct
URM1,CHMP5,-1,reversed-1
CYC1,NUP214,-1,reversed-1
BRIX1,MRPL4,1,direct
USP8,SKA3,-4,reversed-4
RNF8,WBP1L,0,no_path
CYC1,POLA2,1,direct
HSPE1,CD2BP2,1,direct
MRGBP,ZNRD1,1,direct
YBX1,DPH3,1,direct
HDAC3,EIF3B,-1,reversed-1
CCDC174,PPP1CB,1,direct
COG4,RPUSD4,0,no_path
MRPS11,USP5,2,hop-2
HTATSF1,DDX41,-2,reversed-2
SRSF6,NFS1,0,no_path
URM1,FIP1L1,1,direct
SUPT5H,TMA16,-2,reversed-2
DDX19A,SDHA,-1,reversed-1
DPH3,SNRPG,1,direct
MRTO4,CENPH,1,direct
NELFE,TRIAP1,-1,reversed-1
HDAC3,EXOSC1,0,no_path
PSMB1,PSMB2,1,direct
GUK1,NUP54,2,hop-2
INCENP,MRGBP,-2,reversed-2
SLC1A5,WBP1L,0,no_path
SUPT5H,SLU7,-1,reversed-1
FBL,NUP214,-1,reversed-1
CIAO1,GATA1,-1,reversed-1
XRCC5,TRAIP,1,direct
HDAC3,MCM10,-2,reversed-2
HTATSF1,RPE,-1,reversed-1
WDR4,SRFBP1,2,hop-2
RNPS1,GTF2H3,1,direct
RPL7A,PPP1CB,1,direct
PSMC4,CBX1,2,hop-2
METAP2,DHODH,2,hop-2
RPS3,SRSF6,1,direct
NEPRO,POLR1C,2,hop-2
SRFBP1,MYCBP,-1,reversed-1
DPH3,VPS13D,0,no_path
URM1,XRCC2,1,direct
CD2BP2,VPS72,1,direct
SRSF6,MED1,-1,reversed-1
SARS2,ZNF830,0,no_path
EIF4G1,RPL18A,2,hop-2
HDAC3,PSMC4,-1,reversed-1
STAT5A,NELFA,0,no_path
EIF2S3,GMPPB,2,hop-2
PSMA1,NFS1,1,direct
NUP54,MRPS28,-1,reversed-1
PSMG1,PALB2,2,hop-2
CCNL1,SRP14,-1,reversed-1
CCT6A,HSPE1,1,direct
WDR18,NUTF2,-1,reversed-1
SKA3,TMA16,-1,reversed-1
MRPS11,TMX2,1,direct
BRIX1,PDCD6IP,1,direct
SMC6,MED4,1,direct
MOCS3,DPM2,-1,reversed-1
CCNL1,XPO5,-1,reversed-1
SCFD1,MCM10,-2,reversed-2
RPL39,ILF3,1,direct
PSMA5,SDHA,1,direct
SRSF6,KIN,0,no_path
MED21,CENPH,-1,reversed-1
CDC20,ORC6,-2,reversed-2
RPL39,CDC20,1,direct
VPS13D,CCP110,0,no_path
SENP6,WDR4,-1,reversed-1
RNASEH2C,MRPL9,-1,reversed-1
CCNL1,ATP6V0C,-1,reversed-1
GPS1,VPS72,2,hop-2
PSMB1,MRPL38,1,direct
RBX1,NUTF2,1,direct
GUK1,CCDC174,1,direct
INCENP,MRPL21,-2,reversed-2
SRP14,RAB4A,1,direct
CENPH,ZC3H8,1,direct
LSM5,NDUFA2,1,direct
HTATSF1,DHODH,2,hop-2
TRIAP1,GTF2H3,-1,reversed-1
LSM5,MRPS31,-1,reversed-1
PSMB2,URM1,1,direct
RPL18A,USP7,1,direct
CPSF6,POLR2E,-1,reversed-1
RPL7A,CCDC174,1,direct
EIF2S3,TRA2B,-1,reversed-1
CPSF6,DDX19A,-1,reversed-1
RPL10A,TBCC,1,direct
LSM10,PSMA5,1,direct
ROMO1,CTU2,2,hop-2
EIF3B,RBBP5,1,direct
MRPS22,KIN,1,direct
EIF3B,ILF3,1,direct
MRPL9,WBP1L,0,no_path
